name,league
Manchester City,Barclays Premier League
Bayern Munich,German Bundesliga
Barcelona,Spanish Primera Division
Real Madrid,Spanish Primera Division
Liverpool,Barclays Premier League
Arsenal,Barclays Premier League
Newcastle,Barclays Premier League
Napoli,Italy Serie A
Borussia Dortmund,German Bundesliga
Brighton and Hove Albion,Barclays Premier League
RB Leipzig,German Bundesliga
Benfica,Portuguese Liga
Aston Villa,Barclays Premier League
Atletico Madrid,Spanish Primera Division
Paris Saint-Germain,French Ligue 1
Manchester United,Barclays Premier League
Internazionale,Italy Serie A
Ajax,Dutch Eredivisie
Lille,French Ligue 1
Brentford,Barclays Premier League
Real Sociedad,Spanish Primera Division
Sporting CP,Portuguese Liga
FC Porto,Portuguese Liga
Chelsea,Barclays Premier League
Feyenoord,Dutch Eredivisie
Lyon,French Ligue 1
Stade Rennes,French Ligue 1
Bayer Leverkusen,German Bundesliga
Athletic Bilbao,Spanish Primera Division
Celtic,Scottish Premiership
Zenit St Petersburg,Russian Premier Liga
Fiorentina,Italy Serie A
FC Twente,Dutch Eredivisie
Marseille,French Ligue 1
PSV,Dutch Eredivisie
Crystal Palace,Barclays Premier League
Villarreal,Spanish Primera Division
Lens,French Ligue 1
AC Milan,Italy Serie A
AS Roma,Italy Serie A
FC Salzburg,Austrian T-Mobile Bundesliga
FC Cologne,German Bundesliga
Tottenham Hotspur,Barclays Premier League
Rangers,Scottish Premiership
Eintracht Frankfurt,German Bundesliga
West Ham United,Barclays Premier League
Atalanta,Italy Serie A
VfL Wolfsburg,German Bundesliga
Juventus,Italy Serie A
Torino,Italy Serie A
Sevilla FC,Spanish Primera Division
Mainz,German Bundesliga
Palmeiras,Brasileiro Série A
Valencia,Spanish Primera Division
Lazio,Italy Serie A
Fulham,Barclays Premier League
Besiktas,Turkish Turkcell Super Lig
Celta Vigo,Spanish Primera Division
Nice,French Ligue 1
VfB Stuttgart,German Bundesliga
Borussia Monchengladbach,German Bundesliga
Galatasaray,Turkish Turkcell Super Lig
AZ,Dutch Eredivisie
Girona FC,Spanish Primera Division
Real Betis,Spanish Primera Division
SC Freiburg,German Bundesliga
Flamengo,Brasileiro Série A
Strasbourg,French Ligue 1
1. FC Union Berlin,German Bundesliga
Osasuna,Spanish Primera Division
Young Boys,Swiss Raiffeisen Super League
Atletico Mineiro,Brasileiro Série A
Getafe,Spanish Primera Division
AS Monaco,French Ligue 1
Leicester City,Barclays Premier League
KAA Gent,Belgian Jupiler League
